,post_caption
184288,"Love food hate waste? It’s banana cake for afternoon tea 🫖 
With 2 bananas going black in the fruit bowl, I decided to make a cake. 

It’s yummy 😋 

With 1/3 of the food produce each year in the world is wasted, yet 821 million people are undernourished. 
What a waste 😢

#lovefoodhatewaste #bananacake #homecooking #sundaybaking #eathealthy #eatallthefood #morningtonpeninsula #wasteless #sustainableliving"
184290,"A long lunch with zero food miles. 

This lunch started 25 years ago when my husband and I planted our fruit circle, tangerine, ruby grapefruit, plums, lemon, lime joining our 80 year old apple and blood plum tree. 

It’s a joy to pick fruit for our long lunch with dear friends. 

#slowfood #redhilll #morningtonpeninsula #wasteless #fruittrees #chemicalfree #theecoorganiser 
#grownnotflown #zerofoodmiles #longlunch #livesimply #lowimpact #homegardener #foodfriendsfun #australia"
184296,"Harvest time. Damson ham and beans preserved in white wine vinegar, cloves and tarragon. 

#damsonjam #jam #homegrownfood #beans #sustainableliving #morningtonpeninsula #redhill #homepreserving #foodwaste #homegardening #simplelife #simplefood"
184304,"From a few seeds we can grow so much and feed our bodies and soul. 

Nothing better than picking strawberries and eating them for breakfast and my husband loves grazing while watering, this morning purple beans were on his menu. 😆

I love to create rooms within our garden, there’s the “fruit circle “ where we have eaten and shared many meals and drinks with friends and family, conversations on all sorts of topics and a fair dose on bullshit. 

There’s my private place for yoga and meditation that I share with the birds and the occasional 🚗 but generally really quiet 🤫 

I turn 57 this year and it’s my year to #giveupcrap to buying it, calling it out and sharing ways to reduce our carbon emissions. 

There’s no high tech stuff, it’s all been built from repurposed stuff and sweat. It really is a case of “less is more”. 

What’s your favourite space you retreat to, to feed your soul?

#morninginthegarden #harvest #foodforage #repurpose #lessismore #yogainthegarden #mediation #birdsofaustralia #mindfulconsumption #the10rs  #foodsecurity #sustainableliving #sunflowers #publicspeaker #wastecoach"
184349,"Want to avoid plastic, kitchen towels, reduce food waste and share food?

The  garden is brimming and I want to share our produce with friends and deliver them a fresh as possible. 

Picked early before the sun hits them then wrap (swaddle) in damp cloth. I use cloth napkins and tea towels. 

Into a cooler bag and we’re ready to travel. To avoid leaf burn wrap an ice block in cloth.  Use repurposed elastic bands to hold bundles together, if necessary. 

Don’t buy them, repurpose from bunches of asparagus or herbs. 

#lovefoodhatewaste #homegrown #spinach #silverbeet #cress #sage #thyme #parsley #mint #basket #gardendelights #organicgardening #sharefood #rethink #repurpose #morningtonpeninsula  #ecoorganiselife"
184370,"The paddock can wait, learning how to ethically declutter to reduce waste can’t. 

Our consumption and disposal habits are costing the planet. 

*1- 5 shopping bags of edible food is throw away in Australia household!!

That also means our hard earned money goes with it, but what about the farmers, fertiliser, water, transport costs and packaging? 

It’s a great waste. 

The 2 step to reduce waste is to declutter your home, so you know what you have, the next step is use what you have before buying more. 

To learn step 1 
Why do I want to declutter?
How to ethically declutter 
How to eco organise your home in 30 days. 
Order your copy of new book Ethically Declutter your home in 30 Days. 
Cluck ☝️through BIO to the Eco Organiser website, while there check out our FREE webinars, blogs and the Use Links page with over 100 links to responsibly dispose of unwanted items. 

#tractor #lovefoodhatewaste #newbooks #ethicallydeclutter #reducereuserecycle #rethink #responsible #the10rs #recycleright #freewebinars #howto #motivationalspeaker #climateaction"
184375,"Saturday was gardening day and it’s amazing the things you can still pull out of the garden in Spring. 
Homegrown 
*Potatoes
*Rosemary
*Rhubarb 
*English spinach
*Silverbeet
*Leeks
*Brussel sprouts

And finishing the day with roasted Brussel sprouts and tofu for dinner. 

Today I will make leek and potato soup, spinach pie and my first attempt at lime and lemon marmalade. The poor lime tree is groaning under the weight of fruit. 

Loving garden lockdown!

#veganlife #homegrown #veggies #sustainableliving #ecoorganiselife #treadlightly #chemicalfree #leeks #potatoes #rhubarb #rosemary #spinach #silverbeet #brusselsprouts #lovefoodhatewaste"
184377,"Want to stop using kitchen paper towels?

Declutter and look for natural cloth or cloth napkins, they work well to absorb moisture and reduce food waste. 

We store a lot of our homegrown produce this way and find it lasts for weeks. 

#homegrown #broccoli #foodstorage #lovefoodhatewaste #ecoorganise #repurpose"
184393,"Love food and hate waste! With capsicums in abundance a few weeks ago I decided to preserve in vinegar to prevent food waste. 

I always like to trial before I share tips, there’s only been one explosion in the pantry, honest!

Using simple ingredients we now have preserved capsicums, ideally for antipasto or adding to recipes. 

#homepreserved #lovefoodhatewaste #vinegar #australianmade #italianway #capsicum #ecoorganiselife #antipasto #reducefoodwaste"
184401,"Last of the broccoli is preserved. 

#lovefoodhatewaste #broccoli #homegrown #dehydratedfood 
#sustainablelife #vegetables #chemicalfree #morningtonpeninsula"
184402,"Feeling guilty about the single use cups used during lockdown?

Here’s an idea 

I know things have been challenging during lockdown but I am very grateful I can walk each day and enjoy a coffee. 

With reusable cups not always accepted and my day not looking good without a coffee I had to accept a single use cup😔. 

One saving grace the cups are compostable with PLA lids (plant based plastic)

Determined that the cups not be single use they are now repurposed and growing our food and can be composted when they wear out. 

#repurpose #reusewaste #coffeeaddict #lockdownlife #lockdownsurvivaltips #growyourownfood #seeds #seedsaving #singleuse"
184442,"Refilling containers at bulk fill stores helps reduce food waste,  you can buy the amount you want, not restricted to buy set quantities.
Refilling and reusing containers reduces single use packaging.
#plasticfreejuly #refill #bulkfill #reduce #foodwaste #singleuse #reuse"
184450,"Do your teenagers have a way of hoovering your fridge of food?
Are you working to reduce trips to the supermarket?
Writing a shopping list and meal plan saves time, money and reduces food waste.
#lovefoodhatewaste
https://www.ecoorganiser.com.au/how-to-write-a-shopping-list-meal-plan-reduce-food-waste/"
184460,"With tonnes of edible food throw away each year, polluting the air we breathe with methane, an organised pantry reduces food waste and makes the word of difference.
#lovefoodhatewaste
http://ow.ly/sdVG50AmqQg"
184461,"Homemade Tzatziki dip made from our summer crop. Maybe not authentic Greek but close enough is good enough when it comes to reducing food waste and dealing here a glut of cucumbers 🥒 

This year I made the dip and froze it in a glass jar. Once defrosted and to overcome the wetness I blended it with some feta cheese. Yum. 

#wastenot #lovefoodhatewaste #homegrownveggies #homemadefood #cucumber #tzatziki #lunch #reduce #sustsinableliving"
184467,"Waste not want not, food waste costs the earth. Learn how to organise your pantry to reduce food waste, save time and money.
https://www.ecoorganiser.com.au/how-to-eat-your-pantry-reduce-food-waste/
#lovefoodhatewaste #reduce #organise #The10Rs #wastecoach"
184476,"The average Australian household throws out $3800 of edible food PA! An organised the freezer helps reduce food waste, lower methane emissions and save money. 
#reduce #foodwaste #foodsecurity #methand #savemoney
https://www.ecoorganiser.com.au/how-to-eat-your-freezer-reduce-food-waste/"
184477,"Temperatures hit 38 degrees in the Arctic Circle this week!!! This is not a pretty picture!!!
We are struggling with #COVID19 yet we cannot forget #climatechange lurks in the background. 
This temperature is 18 degrees higher than normal at this time of year. 
This scares the crap out me. 😨

You may think, what can I do to slow down #climatechange. *Leave your car at home *Turn off lights when you leave a room
*Wear warm clothes rather than turning up the heat *Reduce food waste
*Refuse excess packaging *Refuse greenwashing *Donate quality items to charities *Switch to clean energy-solar-wind-tidal-geothermal-hydro
*Refuse buy one get one free *Shop your wardrobe before buying more clothes *Recycle right (check out our FB videos)
*Try Plastic Free July “Live simply, so others can simply live”
Gandhi

Every little bit helps. 
#climatecrisis #reducefoodwaste #The10Rs #reuse #refuse #greenwashing"
184481,"Did you know the best place to store Tim Tam's is the dishwasher? Find out why and learn how to reduce food waste. http://ow.ly/DOxQ50A7ui0
#reduce #foodwaste #savemoney #savefood 
#lovefoodhatewaste"
184482,"Waste not. Left over roast carrots become carrot hummus 😋

#leftovers #wastenot #foodsecurity #carrots #hummus"
184491,Food security is not an issue at the moment....if you like #fijoas 😋😆 #homegrown #homepreserving #vicola #foodsecurity #wastenot #sustainableliving #organicgardening
